timestamp,grid_code,tweet
2026-01-22 20:56:47,X9Y8Z,"Lots of families and police patrolling, very safe."
2026-01-22 20:56:47,X9Y8Z,"Cops are doing rounds on this block tonight, all good."
2026-01-22 20:56:47,M4N5P,Group of guys catcalling everyone who walks past the station.
2026-01-22 20:56:47,X9Y8Z,Street is well lit and there's a lot of foot traffic right now.
2026-01-22 20:56:47,M4N5P,"Streetlights are out, feels sketchy."
2026-01-22 20:56:47,M4N5P,"Completely pitch black on this street, do not walk here alone."
2026-01-22 20:56:47,L2K3J,"Lots of families and police patrolling, very safe."
2026-01-22 20:56:47,X9Y8Z,"Lots of families and police patrolling, very safe."
2026-01-22 20:56:47,A1B2C,Beautiful sunny day at the park!
2026-01-22 20:56:47,X9Y8Z,"Cops are doing rounds on this block tonight, all good."
2026-01-23 20:56:47,X9Y8Z,"Lots of families and police patrolling, very safe."
2026-01-23 20:56:47,A1B2C,Got harassed by someone at the bus stop here.
2026-01-23 20:56:47,L2K3J,Got harassed by someone at the bus stop here.
2026-01-23 20:56:47,M4N5P,Got harassed by someone at the bus stop here.
2026-01-23 20:56:47,R7T8W,Group of guys catcalling everyone who walks past the station.
2026-01-23 20:56:47,R7T8W,"Streetlights are out, feels sketchy."
2026-01-23 20:56:47,A1B2C,Street is well lit and there's a lot of foot traffic right now.
2026-01-23 20:56:47,M4N5P,Saw some weird guys lingering near the alley.
2026-01-23 20:56:47,M4N5P,"Completely pitch black on this street, do not walk here alone."
2026-01-24 20:56:47,X9Y8Z,"Cops are doing rounds on this block tonight, all good."
2026-01-24 20:56:47,X9Y8Z,"Lots of families and police patrolling, very safe."
2026-01-24 20:56:47,R7T8W,Saw some weird guys lingering near the alley.
2026-01-24 20:56:47,A1B2C,Got harassed by someone at the bus stop here.
2026-01-24 20:56:47,R7T8W,Saw some weird guys lingering near the alley.
2026-01-24 20:56:47,A1B2C,"Just heard yelling down the street, turning around and taking a different route."
2026-01-24 20:56:47,M4N5P,Group of guys catcalling everyone who walks past the station.
2026-01-24 20:56:47,L2K3J,"Cops are doing rounds on this block tonight, all good."
2026-01-24 20:56:47,L2K3J,Group of guys catcalling everyone who walks past the station.
2026-01-24 20:56:47,R7T8W,Someone was following me for two blocks before I ducked into a store.
2026-01-25 20:56:47,X9Y8Z,"Cops are doing rounds on this block tonight, all good."
2026-01-25 20:56:47,A1B2C,"Lots of families and police patrolling, very safe."
2026-01-25 20:56:47,R7T8W,Saw some weird guys lingering near the alley.
2026-01-25 20:56:47,M4N5P,Someone was following me for two blocks before I ducked into a store.
2026-01-25 20:56:47,L2K3J,Someone was following me for two blocks before I ducked into a store.
2026-01-26 20:56:47,A1B2C,Street is well lit and there's a lot of foot traffic right now.
2026-01-26 20:56:47,M4N5P,Someone was following me for two blocks before I ducked into a store.
2026-01-26 20:56:47,A1B2C,"Completely pitch black on this street, do not walk here alone."
2026-01-27 20:56:47,R7T8W,"Completely pitch black on this street, do not walk here alone."
2026-01-27 20:56:47,A1B2C,Someone was following me for two blocks before I ducked into a store.
2026-01-27 20:56:47,A1B2C,Group of guys catcalling everyone who walks past the station.
2026-01-27 20:56:47,X9Y8Z,"Cops are doing rounds on this block tonight, all good."
2026-01-27 20:56:47,M4N5P,"Streetlights are out, feels sketchy."
2026-01-28 20:56:47,L2K3J,Street is well lit and there's a lot of foot traffic right now.
2026-01-28 20:56:47,R7T8W,Saw some weird guys lingering near the alley.
2026-01-28 20:56:47,M4N5P,"Completely pitch black on this street, do not walk here alone."
2026-01-28 20:56:47,R7T8W,"Just heard yelling down the street, turning around and taking a different route."
2026-01-29 20:56:47,R7T8W,Saw some weird guys lingering near the alley.
2026-01-29 20:56:47,L2K3J,Street is well lit and there's a lot of foot traffic right now.
2026-01-29 20:56:47,A1B2C,Someone was following me for two blocks before I ducked into a store.
2026-01-30 20:56:47,A1B2C,"Streetlights are out, feels sketchy."
2026-01-30 20:56:47,L2K3J,"Cops are doing rounds on this block tonight, all good."
2026-01-30 20:56:47,A1B2C,"Just heard yelling down the street, turning around and taking a different route."
2026-01-30 20:56:47,L2K3J,Someone was following me for two blocks before I ducked into a store.
2026-01-30 20:56:47,M4N5P,"Completely pitch black on this street, do not walk here alone."
2026-01-30 20:56:47,L2K3J,Beautiful sunny day at the park!
2026-01-31 20:56:47,L2K3J,Saw some weird guys lingering near the alley.
2026-01-31 20:56:47,A1B2C,Love the new streetlights they installed here. Feels much better walking home.
2026-01-31 20:56:47,R7T8W,Someone was following me for two blocks before I ducked into a store.
2026-01-31 20:56:47,M4N5P,Someone was following me for two blocks before I ducked into a store.
2026-01-31 20:56:47,M4N5P,"Just heard yelling down the street, turning around and taking a different route."
2026-02-01 20:56:47,A1B2C,"Lots of families and police patrolling, very safe."
2026-02-01 20:56:47,M4N5P,"Streetlights are out, feels sketchy."
2026-02-02 20:56:47,A1B2C,"Cops are doing rounds on this block tonight, all good."
2026-02-03 20:56:47,R7T8W,"Completely pitch black on this street, do not walk here alone."
2026-02-03 20:56:47,L2K3J,"Cops are doing rounds on this block tonight, all good."
2026-02-03 20:56:47,A1B2C,Got harassed by someone at the bus stop here.
2026-02-03 20:56:47,M4N5P,Group of guys catcalling everyone who walks past the station.
2026-02-04 20:56:47,X9Y8Z,Love the new streetlights they installed here. Feels much better walking home.
2026-02-04 20:56:47,R7T8W,Group of guys catcalling everyone who walks past the station.
2026-02-04 20:56:47,A1B2C,Got harassed by someone at the bus stop here.
2026-02-04 20:56:47,A1B2C,Someone was following me for two blocks before I ducked into a store.
2026-02-05 20:56:47,R7T8W,"Streetlights are out, feels sketchy."
2026-02-05 20:56:47,L2K3J,Beautiful sunny day at the park!
2026-02-06 20:56:47,A1B2C,"Completely pitch black on this street, do not walk here alone."
2026-02-06 20:56:47,M4N5P,"Streetlights are out, feels sketchy."
2026-02-06 20:56:47,A1B2C,Group of guys catcalling everyone who walks past the station.
2026-02-06 20:56:47,A1B2C,Someone was following me for two blocks before I ducked into a store.
2026-02-06 20:56:47,A1B2C,Group of guys catcalling everyone who walks past the station.
2026-02-07 20:56:47,A1B2C,"Cops are doing rounds on this block tonight, all good."
2026-02-07 20:56:47,L2K3J,Someone was following me for two blocks before I ducked into a store.
2026-02-07 20:56:47,R7T8W,Saw some weird guys lingering near the alley.
2026-02-07 20:56:47,A1B2C,"Streetlights are out, feels sketchy."
2026-02-08 20:56:47,R7T8W,Group of guys catcalling everyone who walks past the station.
2026-02-08 20:56:47,L2K3J,Love the new streetlights they installed here. Feels much better walking home.
2026-02-08 20:56:47,M4N5P,Someone was following me for two blocks before I ducked into a store.
2026-02-08 20:56:47,L2K3J,"Streetlights are out, feels sketchy."
2026-02-08 20:56:47,X9Y8Z,Love the new streetlights they installed here. Feels much better walking home.
2026-02-08 20:56:47,X9Y8Z,Street is well lit and there's a lot of foot traffic right now.
2026-02-09 20:56:47,A1B2C,Group of guys catcalling everyone who walks past the station.
2026-02-09 20:56:47,L2K3J,"Completely pitch black on this street, do not walk here alone."
2026-02-09 20:56:47,A1B2C,Got harassed by someone at the bus stop here.
2026-02-09 20:56:47,X9Y8Z,Beautiful sunny day at the park!
2026-02-09 20:56:47,R7T8W,"Just heard yelling down the street, turning around and taking a different route."
2026-02-10 20:56:47,A1B2C,Saw some weird guys lingering near the alley.
2026-02-10 20:56:47,A1B2C,"Streetlights are out, feels sketchy."
2026-02-10 20:56:47,X9Y8Z,Street is well lit and there's a lot of foot traffic right now.
2026-02-11 20:56:47,X9Y8Z,"Cops are doing rounds on this block tonight, all good."
2026-02-11 20:56:47,R7T8W,"Completely pitch black on this street, do not walk here alone."
2026-02-11 20:56:47,R7T8W,Group of guys catcalling everyone who walks past the station.
2026-02-11 20:56:47,L2K3J,"Lots of families and police patrolling, very safe."
2026-02-11 20:56:47,R7T8W,Group of guys catcalling everyone who walks past the station.
2026-02-11 20:56:47,R7T8W,Someone was following me for two blocks before I ducked into a store.
2026-02-11 20:56:47,M4N5P,Group of guys catcalling everyone who walks past the station.
2026-02-11 20:56:47,X9Y8Z,Beautiful sunny day at the park!
2026-02-12 20:56:47,L2K3J,"Streetlights are out, feels sketchy."
2026-02-12 20:56:47,X9Y8Z,Street is well lit and there's a lot of foot traffic right now.
2026-02-12 20:56:47,A1B2C,Love the new streetlights they installed here. Feels much better walking home.
2026-02-12 20:56:47,A1B2C,Street is well lit and there's a lot of foot traffic right now.
2026-02-12 20:56:47,R7T8W,"Streetlights are out, feels sketchy."
2026-02-12 20:56:47,L2K3J,Beautiful sunny day at the park!
2026-02-13 20:56:47,L2K3J,Got harassed by someone at the bus stop here.
2026-02-13 20:56:47,R7T8W,"Just heard yelling down the street, turning around and taking a different route."
2026-02-13 20:56:47,L2K3J,"Streetlights are out, feels sketchy."
2026-02-13 20:56:47,M4N5P,"Streetlights are out, feels sketchy."
2026-02-13 20:56:47,M4N5P,Group of guys catcalling everyone who walks past the station.
2026-02-14 20:56:47,X9Y8Z,Beautiful sunny day at the park!
2026-02-14 20:56:47,L2K3J,Street is well lit and there's a lot of foot traffic right now.
2026-02-14 20:56:47,A1B2C,"Cops are doing rounds on this block tonight, all good."
2026-02-14 20:56:47,M4N5P,"Just heard yelling down the street, turning around and taking a different route."
2026-02-14 20:56:47,R7T8W,Someone was following me for two blocks before I ducked into a store.
2026-02-15 20:56:47,M4N5P,"Streetlights are out, feels sketchy."
2026-02-15 20:56:47,M4N5P,"Completely pitch black on this street, do not walk here alone."
2026-02-15 20:56:47,M4N5P,"Streetlights are out, feels sketchy."
2026-02-15 20:56:47,L2K3J,Street is well lit and there's a lot of foot traffic right now.
2026-02-16 20:56:47,L2K3J,Street is well lit and there's a lot of foot traffic right now.
2026-02-16 20:56:47,R7T8W,"Streetlights are out, feels sketchy."
2026-02-16 20:56:47,L2K3J,Group of guys catcalling everyone who walks past the station.
2026-02-16 20:56:47,M4N5P,Saw some weird guys lingering near the alley.
2026-02-16 20:56:47,A1B2C,Beautiful sunny day at the park!
2026-02-16 20:56:47,X9Y8Z,Love the new streetlights they installed here. Feels much better walking home.
2026-02-16 20:56:47,X9Y8Z,Love the new streetlights they installed here. Feels much better walking home.
2026-02-16 20:56:47,A1B2C,Street is well lit and there's a lot of foot traffic right now.
2026-02-17 20:56:47,R7T8W,"Streetlights are out, feels sketchy."
2026-02-18 20:56:47,A1B2C,"Cops are doing rounds on this block tonight, all good."
2026-02-18 20:56:47,L2K3J,"Cops are doing rounds on this block tonight, all good."
2026-02-18 20:56:47,L2K3J,Someone was following me for two blocks before I ducked into a store.
2026-02-18 20:56:47,R7T8W,"Completely pitch black on this street, do not walk here alone."
2026-02-18 20:56:47,R7T8W,Saw some weird guys lingering near the alley.
2026-02-19 20:56:47,L2K3J,Love the new streetlights they installed here. Feels much better walking home.
2026-02-19 20:56:47,M4N5P,"Just heard yelling down the street, turning around and taking a different route."
2026-02-19 20:56:47,X9Y8Z,"Lots of families and police patrolling, very safe."
2026-02-19 20:56:47,A1B2C,Group of guys catcalling everyone who walks past the station.
2026-02-20 20:56:47,A1B2C,Group of guys catcalling everyone who walks past the station.
2026-02-20 20:56:47,R7T8W,"Just heard yelling down the street, turning around and taking a different route."
2026-02-21 20:56:47,R7T8W,Someone was following me for two blocks before I ducked into a store.
2026-02-21 20:56:47,L2K3J,Saw some weird guys lingering near the alley.
2026-02-21 20:56:47,X9Y8Z,"Lots of families and police patrolling, very safe."
2026-02-21 20:56:47,M4N5P,"Streetlights are out, feels sketchy."
2026-02-21 20:56:47,X9Y8Z,"Cops are doing rounds on this block tonight, all good."
2026-02-21 20:56:47,X9Y8Z,Love the new streetlights they installed here. Feels much better walking home.
